company_id,company_name,url,description,business_model,target,stage,employee_count,domain,icp_score,source,created_at,updated_at,notes,stock_code,market,industry_17,size_category,is_icp_candidate
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,,,,,上場（グロース）,,医薬品,,JPX Growth Market,2025-12-26,2025-12-26,,130A,グロース（内国株式）,医薬品,-,False
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,135A,グロース（内国株式）,情報通信・サービスその他,-,True
137A,Ｃｏｃｏｌｉｖｅ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,137A,グロース（内国株式）,情報通信・サービスその他,-,True
138A,光フードサービス,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,138A,グロース（内国株式）,小売,-,False
1401,エムビーエス,,,,,上場（グロース）,,建設業,,JPX Growth Market,2025-12-26,2025-12-26,,1401,グロース（内国株式）,建設・資材,-,False
141A,トライアルホールディングス,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,141A,グロース（内国株式）,小売,-,False
142A,ジンジブ,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,142A,グロース（内国株式）,情報通信・サービスその他,-,True
1431,Ｌｉｂ　Ｗｏｒｋ,,,,,上場（グロース）,,建設業,,JPX Growth Market,2025-12-26,2025-12-26,,1431,グロース（内国株式）,建設・資材,-,False
1436,グリーンエナジー＆カンパニー,,,,,上場（グロース）,,建設業,,JPX Growth Market,2025-12-26,2025-12-26,,1436,グロース（内国株式）,建設・資材,-,False
143A,イシン,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,143A,グロース（内国株式）,情報通信・サービスその他,-,True
1444,ニッソウ,,,,,上場（グロース）,,建設業,,JPX Growth Market,2025-12-26,2025-12-26,,1444,グロース（内国株式）,建設・資材,-,False
1447,ＳＡＡＦホールディングス,,,,,上場（グロース）,,建設業,,JPX Growth Market,2025-12-26,2025-12-26,,1447,グロース（内国株式）,建設・資材,-,False
145A,Ｌ　ｉｓ　Ｂ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,145A,グロース（内国株式）,情報通信・サービスその他,-,True
147A,ソラコム,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,147A,グロース（内国株式）,情報通信・サービスその他,-,True
148A,ハッチ・ワーク,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,148A,グロース（内国株式）,情報通信・サービスその他,-,True
149A,シンカ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,149A,グロース（内国株式）,情報通信・サービスその他,-,True
150A,ＪＳＨ,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,150A,グロース（内国株式）,情報通信・サービスその他,-,True
151A,ダイブ,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,151A,グロース（内国株式）,情報通信・サービスその他,-,True
153A,カウリス,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,153A,グロース（内国株式）,情報通信・サービスその他,-,True
155A,情報戦略テクノロジー,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,155A,グロース（内国株式）,情報通信・サービスその他,-,True
156A,マテリアルグループ,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,156A,グロース（内国株式）,情報通信・サービスその他,-,True
157A,グリーンモンスター,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,157A,グロース（内国株式）,情報通信・サービスその他,-,True
166A,タスキホールディングス,,,,,上場（グロース）,,不動産業,,JPX Growth Market,2025-12-26,2025-12-26,,166A,グロース（内国株式）,不動産,-,False
168A,イタミアート,,,,,上場（グロース）,,その他製品,,JPX Growth Market,2025-12-26,2025-12-26,,168A,グロース（内国株式）,情報通信・サービスその他,-,False
173A,ハンモック,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,173A,グロース（内国株式）,情報通信・サービスその他,-,True
175A,Ｗｉｌｌ　Ｓｍａｒｔ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,175A,グロース（内国株式）,情報通信・サービスその他,-,True
176A,レジル,,,,,上場（グロース）,,電気・ガス業,,JPX Growth Market,2025-12-26,2025-12-26,,176A,グロース（内国株式）,電力・ガス,-,False
177A,コージンバイオ,,,,,上場（グロース）,,化学,,JPX Growth Market,2025-12-26,2025-12-26,,177A,グロース（内国株式）,素材・化学,-,False
184A,学びエイド,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,184A,グロース（内国株式）,情報通信・サービスその他,-,True
186A,アストロスケールホールディングス,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,186A,グロース（内国株式）,情報通信・サービスその他,-,True
189A,Ｄ＆Ｍカンパニー,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,189A,グロース（内国株式）,情報通信・サービスその他,-,True
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,,,,,上場（グロース）,,医薬品,,JPX Growth Market,2025-12-26,2025-12-26,,190A,グロース（内国株式）,医薬品,-,False
192A,インテグループ,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,192A,グロース（内国株式）,情報通信・サービスその他,-,True
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,194A,グロース（内国株式）,情報通信・サービスその他,-,True
195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,195A,グロース（内国株式）,情報通信・サービスその他,-,True
196A,ＭＦＳ,,,,,上場（グロース）,,その他金融業,,JPX Growth Market,2025-12-26,2025-12-26,,196A,グロース（内国株式）,金融（除く銀行）,-,False
198A,ＰｏｓｔＰｒｉｍｅ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,198A,グロース（内国株式）,情報通信・サービスその他,-,True
202A,豆蔵,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,202A,グロース（内国株式）,情報通信・サービスその他,-,True
205A,ロゴスホールディングス,,,,,上場（グロース）,,建設業,,JPX Growth Market,2025-12-26,2025-12-26,,205A,グロース（内国株式）,建設・資材,-,False
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,,,,,上場（グロース）,,医薬品,,JPX Growth Market,2025-12-26,2025-12-26,,206A,グロース（内国株式）,医薬品,-,False
2158,ＦＲＯＮＴＥＯ,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,2158,グロース（内国株式）,情報通信・サービスその他,-,True
215A,タイミー,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,215A,グロース（内国株式）,情報通信・サービスその他,-,True
2160,ジーエヌアイグループ,,,,,上場（グロース）,,医薬品,,JPX Growth Market,2025-12-26,2025-12-26,,2160,グロース（内国株式）,医薬品,-,False
2164,地域新聞社,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,2164,グロース（内国株式）,情報通信・サービスその他,-,True
2173,博展,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,2173,グロース（内国株式）,情報通信・サービスその他,-,True
218A,Ｌｉｂｅｒａｗａｒｅ,,,,,上場（グロース）,,精密機器,,JPX Growth Market,2025-12-26,2025-12-26,,218A,グロース（内国株式）,電機・精密,-,False
2195,アミタホールディングス,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,2195,グロース（内国株式）,情報通信・サービスその他,-,True
219A,Ｈｅａｒｔｓｅｅｄ,,,,,上場（グロース）,,医薬品,,JPX Growth Market,2025-12-26,2025-12-26,,219A,グロース（内国株式）,医薬品,-,False
228A,オプロ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,228A,グロース（内国株式）,情報通信・サービスその他,-,True
2321,ソフトフロントホールディングス,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,2321,グロース（内国株式）,情報通信・サービスその他,-,True
2334,イオレ,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,2334,グロース（内国株式）,情報通信・サービスその他,-,True
2342,トランスジェニックグループ,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,2342,グロース（内国株式）,情報通信・サービスその他,-,True
2351,ＡＳＪ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,2351,グロース（内国株式）,情報通信・サービスその他,-,True
2370,メディネット,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,2370,グロース（内国株式）,情報通信・サービスその他,-,True
2385,総医研ホールディングス,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,2385,グロース（内国株式）,情報通信・サービスその他,-,True
2388,ウェッジホールディングス,,,,,上場（グロース）,,その他金融業,,JPX Growth Market,2025-12-26,2025-12-26,,2388,グロース（内国株式）,金融（除く銀行）,-,False
241A,ＲＯＸＸ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,241A,グロース（内国株式）,情報通信・サービスその他,-,True
2438,アスカネット,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,2438,グロース（内国株式）,情報通信・サービスその他,-,True
244A,グロースエクスパートナーズ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,244A,グロース（内国株式）,情報通信・サービスその他,-,True
245A,ＩＮＧＳ,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,245A,グロース（内国株式）,小売,-,False
246A,アスア,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,246A,グロース（内国株式）,情報通信・サービスその他,-,True
247A,Ａｉロボティクス,,,,,上場（グロース）,,化学,,JPX Growth Market,2025-12-26,2025-12-26,,247A,グロース（内国株式）,素材・化学,-,False
248A,キッズスター,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,248A,グロース（内国株式）,情報通信・サービスその他,-,True
2497,ユナイテッド,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,2497,グロース（内国株式）,情報通信・サービスその他,-,True
2586,フルッタフルッタ,,,,,上場（グロース）,,食料品,,JPX Growth Market,2025-12-26,2025-12-26,,2586,グロース（内国株式）,食品,-,False
264A,Ｓｃｈｏｏ,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,264A,グロース（内国株式）,情報通信・サービスその他,-,True
265A,Ｈｍｃｏｍｍ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,265A,グロース（内国株式）,情報通信・サービスその他,-,True
269A,Ｓａｐｅｅｔ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,269A,グロース（内国株式）,情報通信・サービスその他,-,True
276A,ククレブ・アドバイザーズ,,,,,上場（グロース）,,不動産業,,JPX Growth Market,2025-12-26,2025-12-26,,276A,グロース（内国株式）,不動産,-,False
277A,グロービング,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,277A,グロース（内国株式）,情報通信・サービスその他,-,True
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,,,,,上場（グロース）,,精密機器,,JPX Growth Market,2025-12-26,2025-12-26,,278A,グロース（内国株式）,電機・精密,-,False
280A,ＴＭＨ,,,,,上場（グロース）,,卸売業,,JPX Growth Market,2025-12-26,2025-12-26,,280A,グロース（内国株式）,商社・卸売,-,False
281A,インフォメティス,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,281A,グロース（内国株式）,情報通信・サービスその他,-,True
286A,ユカリア,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,286A,グロース（内国株式）,情報通信・サービスその他,-,True
288A,ラクサス・テクノロジーズ,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,288A,グロース（内国株式）,情報通信・サービスその他,-,True
290A,Ｓｙｎｓｐｅｃｔｉｖｅ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,290A,グロース（内国株式）,情報通信・サービスその他,-,True
291A,リスキル,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,291A,グロース（内国株式）,情報通信・サービスその他,-,True
2934,ジェイフロンティア,,,,,上場（グロース）,,食料品,,JPX Growth Market,2025-12-26,2025-12-26,,2934,グロース（内国株式）,食品,-,False
2936,ベースフード,,,,,上場（グロース）,,食料品,,JPX Growth Market,2025-12-26,2025-12-26,,2936,グロース（内国株式）,食品,-,False
2937,サンクゼール,,,,,上場（グロース）,,食料品,,JPX Growth Market,2025-12-26,2025-12-26,,2937,グロース（内国株式）,食品,-,False
296A,令和アカウンティング・ホールディングス,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,296A,グロース（内国株式）,情報通信・サービスその他,-,True
2978,ツクルバ,,,,,上場（グロース）,,不動産業,,JPX Growth Market,2025-12-26,2025-12-26,,2978,グロース（内国株式）,不動産,-,False
2981,ランディックス,,,,,上場（グロース）,,不動産業,,JPX Growth Market,2025-12-26,2025-12-26,,2981,グロース（内国株式）,不動産,-,False
2983,アールプランナー,,,,,上場（グロース）,,不動産業,,JPX Growth Market,2025-12-26,2025-12-26,,2983,グロース（内国株式）,不動産,-,False
2986,ＬＡホールディングス,,,,,上場（グロース）,,不動産業,,JPX Growth Market,2025-12-26,2025-12-26,,2986,グロース（内国株式）,不動産,-,False
298A,ＧＶＡ　ＴＥＣＨ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,298A,グロース（内国株式）,情報通信・サービスその他,-,True
2997,ストレージ王,,,,,上場（グロース）,,不動産業,,JPX Growth Market,2025-12-26,2025-12-26,,2997,グロース（内国株式）,不動産,-,False
2998,クリアル,,,,,上場（グロース）,,不動産業,,JPX Growth Market,2025-12-26,2025-12-26,,2998,グロース（内国株式）,不動産,-,False
299A,クラシル,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,299A,グロース（内国株式）,情報通信・サービスその他,-,True
302A,ビースタイルホールディングス,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,302A,グロース（内国株式）,情報通信・サービスその他,-,True
303A,ｖｉｓｕｍｏ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,303A,グロース（内国株式）,情報通信・サービスその他,-,True
3042,セキュアヴェイル,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3042,グロース（内国株式）,情報通信・サービスその他,-,True
304A,フォルシア,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,304A,グロース（内国株式）,情報通信・サービスその他,-,True
3063,ジェイグループホールディングス,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,3063,グロース（内国株式）,小売,-,False
3070,ジェリービーンズグループ,,,,,上場（グロース）,,卸売業,,JPX Growth Market,2025-12-26,2025-12-26,,3070,グロース（内国株式）,商社・卸売,-,False
3133,海帆,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,3133,グロース（内国株式）,小売,-,False
3137,ファンデリー,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,3137,グロース（内国株式）,小売,-,False
3138,富士山マガジンサービス,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,3138,グロース（内国株式）,小売,-,False
3140,ＢＲＵＮＯ,,,,,上場（グロース）,,卸売業,,JPX Growth Market,2025-12-26,2025-12-26,,3140,グロース（内国株式）,商社・卸売,-,False
3185,夢展望,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,3185,グロース（内国株式）,小売,-,False
3187,ミラタップ,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,3187,グロース（内国株式）,小売,-,False
3195,ジェネレーションパス,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,3195,グロース（内国株式）,小売,-,False
319A,技術承継機構,,,,,上場（グロース）,,金属製品,,JPX Growth Market,2025-12-26,2025-12-26,,319A,グロース（内国株式）,建設・資材,-,False
3224,ゼネラル・オイスター,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,3224,グロース（内国株式）,小売,-,False
3237,イントランス,,,,,上場（グロース）,,不動産業,,JPX Growth Market,2025-12-26,2025-12-26,,3237,グロース（内国株式）,不動産,-,False
323A,フライヤー,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,323A,グロース（内国株式）,情報通信・サービスその他,-,True
324A,ブッキングリゾート,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,324A,グロース（内国株式）,情報通信・サービスその他,-,True
325A,ＴＥＮＴＩＡＬ,,,,,上場（グロース）,,繊維製品,,JPX Growth Market,2025-12-26,2025-12-26,,325A,グロース（内国株式）,素材・化学,-,False
3261,グランディーズ,,,,,上場（グロース）,,不動産業,,JPX Growth Market,2025-12-26,2025-12-26,,3261,グロース（内国株式）,不動産,-,False
3300,アンビション　ＤＸ　ホールディングス,,,,,上場（グロース）,,不動産業,,JPX Growth Market,2025-12-26,2025-12-26,,3300,グロース（内国株式）,不動産,-,False
330A,ＴａｌｅｎｔＸ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,330A,グロース（内国株式）,情報通信・サービスその他,-,True
332A,ミーク,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,332A,グロース（内国株式）,情報通信・サービスその他,-,True
334A,ビジュアル・プロセッシング・ジャパン,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,334A,グロース（内国株式）,情報通信・サービスその他,-,True
3359,ｃｏｔｔａ,,,,,上場（グロース）,,卸売業,,JPX Growth Market,2025-12-26,2025-12-26,,3359,グロース（内国株式）,商社・卸売,-,False
335A,ミライロ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,335A,グロース（内国株式）,情報通信・サービスその他,-,True
336A,ダイナミックマッププラットフォーム,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,336A,グロース（内国株式）,情報通信・サービスその他,-,True
338A,ＺｅｎｍｕＴｅｃｈ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,338A,グロース（内国株式）,情報通信・サービスその他,-,True
339A,プログレス・テクノロジーズ　グループ,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,339A,グロース（内国株式）,情報通信・サービスその他,-,True
340A,ジグザグ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,340A,グロース（内国株式）,情報通信・サービスその他,-,True
3416,ピクスタ,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,3416,グロース（内国株式）,小売,-,False
3418,バルニバービ,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,3418,グロース（内国株式）,小売,-,False
341A,トヨコー,,,,,上場（グロース）,,建設業,,JPX Growth Market,2025-12-26,2025-12-26,,341A,グロース（内国株式）,建設・資材,-,False
3474,Ｇ－ＦＡＣＴＯＲＹ,,,,,上場（グロース）,,不動産業,,JPX Growth Market,2025-12-26,2025-12-26,,3474,グロース（内国株式）,不動産,-,False
3477,フォーライフ,,,,,上場（グロース）,,不動産業,,JPX Growth Market,2025-12-26,2025-12-26,,3477,グロース（内国株式）,不動産,-,False
3479,ティーケーピー,,,,,上場（グロース）,,不動産業,,JPX Growth Market,2025-12-26,2025-12-26,,3479,グロース（内国株式）,不動産,-,False
3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,,,,,上場（グロース）,,不動産業,,JPX Growth Market,2025-12-26,2025-12-26,,3491,グロース（内国株式）,不動産,-,False
350A,デジタルグリッド,,,,,上場（グロース）,,電気・ガス業,,JPX Growth Market,2025-12-26,2025-12-26,,350A,グロース（内国株式）,電力・ガス,-,False
352A,ＬＯＩＶＥ,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,352A,グロース（内国株式）,情報通信・サービスその他,-,True
3541,農業総合研究所,,,,,上場（グロース）,,卸売業,,JPX Growth Market,2025-12-26,2025-12-26,,3541,グロース（内国株式）,商社・卸売,-,False
3542,ベガコーポレーション,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,3542,グロース（内国株式）,小売,-,False
3550,スタジオアタオ,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,3550,グロース（内国株式）,小売,-,False
3556,リネットジャパングループ,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,3556,グロース（内国株式）,小売,-,False
3557,ユナイテッド＆コレクティブ,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,3557,グロース（内国株式）,小売,-,False
3558,ジェイドグループ,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,3558,グロース（内国株式）,小売,-,False
3566,ユニフォームネクスト,,,,,上場（グロース）,,小売業,,JPX Growth Market,2025-12-26,2025-12-26,,3566,グロース（内国株式）,小売,-,False
3622,ネットイヤーグループ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3622,グロース（内国株式）,情報通信・サービスその他,-,True
3623,ビリングシステム,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3623,グロース（内国株式）,情報通信・サービスその他,-,True
3624,アクセルマーク,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3624,グロース（内国株式）,情報通信・サービスその他,-,True
3625,テックファームホールディングス,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3625,グロース（内国株式）,情報通信・サービスその他,-,True
3628,データホライゾン,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3628,グロース（内国株式）,情報通信・サービスその他,-,True
3645,メディカルネット,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3645,グロース（内国株式）,情報通信・サービスその他,-,True
3646,駅探,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3646,グロース（内国株式）,情報通信・サービスその他,-,True
3652,ディジタルメディアプロフェッショナル,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3652,グロース（内国株式）,情報通信・サービスその他,-,True
3653,モルフォ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3653,グロース（内国株式）,情報通信・サービスその他,-,True
3664,モブキャストホールディングス,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3664,グロース（内国株式）,情報通信・サービスその他,-,True
366A,ウェルネス・コミュニケーションズ,,,,,上場（グロース）,,サービス業,,JPX Growth Market,2025-12-26,2025-12-26,,366A,グロース（内国株式）,情報通信・サービスその他,-,True
3671,ソフトマックス,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3671,グロース（内国株式）,情報通信・サービスその他,-,True
3674,オークファン,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3674,グロース（内国株式）,情報通信・サービスその他,-,True
3680,ホットリンク,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3680,グロース（内国株式）,情報通信・サービスその他,-,True
3691,デジタルプラス,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3691,グロース（内国株式）,情報通信・サービスその他,-,True
3692,ＦＦＲＩセキュリティ,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3692,グロース（内国株式）,情報通信・サービスその他,-,True
3695,ＧＭＯプロダクトプラットフォーム,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3695,グロース（内国株式）,情報通信・サービスその他,-,True
3698,ＣＲＩ・ミドルウェア,,,,,上場（グロース）,,情報・通信業,,JPX Growth Market,2025-12-26,2025-12-26,,3698,グロース（内国株式）,情報通信・サービスその他,-,True
